Species	Specimen_ID	Soma_Volume	Soma_Surface_Area	Soma_Radius
Mouse	573622646	1667.5040809537543	680.0310268560639	7.3563
Mouse	534303031	1157.2090977288542	533.038629978437	6.5129
Mouse	526531616	967.3302823017706	473.00672299278125	6.1352
Mouse	471077857	1446.6296108968154	618.5702441120932	7.016
Mouse	572609108	1528.22211459986	641.6158902525477	7.1455
Mouse	475202388	1898.3479998174018	741.4263395631159	7.6812
Mouse	482516713	563.3636622278591	329.87039849391573	5.1235
Mouse	469992918	1573.445803308325	654.2122170838322	7.2153
Mouse	574734127	724.678397078203	390.1644247652786	5.5721
Mouse	535728342	1354.6292028863713	592.0582180447427	6.864
Mouse	565855793	1122.331626049576	522.2738223845517	6.4468
Mouse	382982932	1526.233968126031	641.059294407775	7.1424
Mouse	561517025	1826.611300320855	722.6281650177452	7.5832
Mouse	583138568	430.32857263527256	275.6455039833068	4.6835
Mouse	565459685	501.42554591884294	305.2261662520349	4.9284
Mouse	623185845	1854.7199729167858	730.022687092504	7.6219
Mouse	570896413	929.5664070572735	460.61464102733936	6.0543
Mouse	574059157	976.5832606686422	476.0182920379428	6.1547
Mouse	614767057	1026.4382457898093	492.0841103551509	6.2577
Mouse	502269786	2151.1010027315983	805.8570190053442	8.008
Mouse	583138230	289.8378124748196	211.79749535354867	4.1054
Mouse	582613001	631.9466042419873	356.1265732555578	5.3235
Mouse	577218602	1217.831651777448	551.4959100536394	6.6247
Mouse	586072188	808.6897834431435	419.7642311456555	5.7796
Mouse	574993444	1073.2403776396493	506.9309337971074	6.3514
Mouse	570896453	305.7730816110365	219.49112167901552	4.1793
Mouse	569723405	1732.9449088482395	697.7084168594364	7.4513
Mouse	586072464	730.3897364079309	392.2117187648867	5.5867
Mouse	561325425	795.9544182972868	415.34557668015174	5.7491
Mouse	571379222	1673.4955155525029	681.6589790576514	7.3651
Mouse	585830272	542.6754309695801	321.74432666180644	5.06
Mouse	565120091	696.1879676468333	379.8701193031228	5.4981
Mouse	341442651	1609.9017247190884	664.278762984797	7.2706
Mouse	592952680	2300.9569737569977	842.8619650383395	8.1898
Mouse	473540161	1092.0037321301543	512.8222654880033	6.3882
Mouse	590558808	1034.727473093081	494.7298460880139	6.2745
Mouse	566678900	735.3033605335213	393.96879582807617	5.5992
Mouse	475623964	1169.3512967709255	536.7608008924623	6.5356
Mouse	585951863	488.71498482321954	300.04603685119076	4.8864
Mouse	471077468	1374.5601109810814	597.8514437032612	6.8975
Mouse	536306115	464.63781659002547	290.10852684192395	4.8048
Mouse	513510227	1566.7822675696223	652.3638537575977	7.2051
Mouse	591278744	2253.5799247978866	831.2521239356784	8.1332
Mouse	555345752	1232.449241705074	555.9001857008949	6.6511
Mouse	564349611	693.5701518778222	378.91725954863534	5.4912
Mouse	582917630	933.6719066579368	461.96987069102295	6.0632
Mouse	583104750	1050.4398025563687	499.7255685239857	6.3061
Mouse	585925172	352.31190688845595	241.23241901341302	4.3814
Mouse	586566174	1165.2766566032228	535.5131693948634	6.528
Mouse	481093525	547.0305782039944	323.46343443618474	5.0735
Mouse	567320213	783.9289368555388	411.15154030884906	5.72
Mouse	527095729	455.33016271806235	286.2211604304216	4.7725
Mouse	479905853	1355.1029046665153	592.1962349958551	6.8648
Mouse	509515969	587.3479038283098	339.1676377203822	5.1952
Mouse	585947309	520.7451262327342	313.01676625422317	4.9909
Mouse	554807924	434.36555547536153	277.3667368566196	4.6981
Mouse	474626527	911.5360384473476	454.6389990427177	6.0149
Mouse	555241040	1186.66608333641	542.0464165551457	6.5677
Mouse	530737765	1032.5521879048013	494.0362296796548	6.2701
Mouse	584872371	494.1055074630346	302.2483376606455	4.9043
Mouse	324266189	896.1205740186073	449.49868279424516	5.9808
Mouse	574038330	1400.4888547816718	605.3463049801193	6.9406
Mouse	477127614	483.95975962415656	298.0965565901796	4.8705
Mouse	561934585	1394.0216297931458	603.48127525353	6.9299
Mouse	560965993	987.5246889041647	479.5671566162416	6.1776
Mouse	475057898	590.7461128751653	340.4745905297579	5.2052
Mouse	566671538	641.7547821633061	359.8019672372719	5.3509
Mouse	323475862	879.5918004441181	443.9542719022097	5.9438
Mouse	579662957	797.9497420608009	416.0394212938012	5.7539
Mouse	475068599	1119.9830339779235	521.544960950867	6.4423
Mouse	585841870	310.7826413960253	221.8819429290995	4.202
Mouse	565888394	693.5701518778222	378.91725954863534	5.4912
Mouse	517345160	783.9700527283707	411.1659163624957	5.7201
Mouse	524689239	1315.405300180934	580.5734652341148	6.7971
Mouse	333785962	571.4841949676878	333.0327476501678	5.148
Mouse	585805211	571.4841949676878	333.0327476501678	5.148
Mouse	555697303	710.4919711937092	385.055715577839	5.5355
Mouse	586073850	469.2658233934881	292.03175268746537	4.8207
Mouse	564346637	1018.7808547633532	489.6337072924272	6.2421
Mouse	585832440	742.4176204530909	396.50588573653647	5.6172
Mouse	313862167	1256.7330804815913	563.178615497016	6.6945
Mouse	476086391	361.9267503007636	245.60163109373454	4.4209
Mouse	580162374	1302.3279180176355	576.7191311614004	6.7745
Mouse	466245544	1043.4094149547225	497.4933637737075	6.292
Mouse	490382353	3210.9729253602873	1052.5479431906538	9.152
Mouse	587045566	296.06639130659534	214.82106465432835	4.1346
Mouse	562632795	966.8573526717859	472.8525411651654	6.1342
Mouse	586072783	348.94543295428485	239.69324972818032	4.3674
Mouse	567952169	1521.6229924925547	639.7674875935733	7.1352
Mouse	473543792	1292.0892667265239	573.6924534431855	6.7567
Mouse	536951541	317.66681950834896	225.1465834731258	4.2328
Mouse	609435731	585.8906897691854	338.6064207184797	5.1909
Mouse	573404307	899.5861718439719	450.6568448746624	5.9885
Mouse	565866518	778.637034484403	409.29913676879835	5.7071
Mouse	547262585	684.8163601076589	375.72221659161966	5.468
Mouse	313862373	3162.5902737693427	1041.9480793898424	9.1058
Mouse	565415071	1153.6414116035614	531.9424909794787	6.5062
Mouse	324493977	1066.0075742117933	504.6508217694813	6.3371
Mouse	580161872	588.5357904788309	339.62478531873217	5.1987
Mouse	571867358	762.9043257397415	403.7670201854534	5.6684
Mouse	555001065	2153.5194795851744	806.4609210779583	8.011
Mouse	488677994	1235.2865071284755	556.753030465645	6.6562
Mouse	585944237	356.3315560689484	243.06381723666328	4.398
Mouse	565407476	332.75939798448877	232.2225258103346	4.2988
Mouse	323452196	987.5246889041647	479.5671566162416	6.1776
Mouse	583434059	762.6620911699628	403.68154725111833	5.6678
Mouse	515315072	478.8209854039988	295.9826415997685	4.8532
Mouse	566761793	455.7882701227979	286.41310621235283	4.7741
Mouse	569965244	1433.37106359323	614.7849296990049	6.9945
Mouse	569723367	827.4282359418092	426.22378609272613	5.8239
Mouse	556923554	2151.1010027315983	805.8570190053442	8.008
Mouse	569998790	1503.0181283104287	634.5418498355314	7.106
Mouse	502359001	643.9160155616393	360.60931633685857	5.3569
Mouse	575774870	1282.2468541578219	570.7753635245145	6.7395
Mouse	594091004	4571.8735597415025	1332.130990600671	10.296
Human	527952884	455.96013958494973	286.4851024681863	4.7747
Human	529889679	993.2425383125483	481.4165304043372	6.1895
Human	561469082	3406.590379406199	1094.873812240856	9.3342
Human	537313600	1448.9195280000388	619.2228420018115	7.0197
Human	537313158	2676.871867106203	932.3289721157031	8.6135
Human	569818704	1606.1846281188543	663.2558684592653	7.265
Human	569844159	468.94466176018705	291.8984947465684	4.8196
Human	548425467	788.2539576081308	412.66239818940625	5.7305
Human	545612828	4234.5719162842925	1265.776805082837	10.0363
Human	508298270	3340.886996435727	1080.7501767675797	9.2738
Human	528636794	1911.7994638936173	744.9246544076542	7.6993
Human	508279351	1354.6292028863713	592.0582180447427	6.864
Human	571654895	2302.9804353275126	843.35603451851	8.1922
Human	576107598	1198.6856638839952	545.700475227167	6.5898
Human	539542640	2244.6143177512236	829.0459658787636	8.1224
Human	596028822	1857.2031574299456	730.6741337770103	7.6253
Human	531517778	2389.9053551212187	864.4461134993555	8.294
Human	571520182	653.7380495261015	364.2671152634295	5.384
Human	595570553	207.42809942323728	169.4581717416567	3.6722
Human	571450870	1157.3690166838774	533.087737218515	6.5132
Human	558211203	1960.7052515933672	757.5750547086834	7.7644
Human	548440226	2645.760161887444	925.0909656949106	8.58
Human	520454345	2655.300041977803	927.3133797345157	8.5903
Human	529863215	651.1188320892212	363.29350101689914	5.3768
Human	571700636	2468.906125587158	883.3927742905246	8.3844
Human	529878215	891.0060502260159	447.78673747412597	5.9694
Human	567742660	1502.6374353464096	634.4346984039221	7.1054
Human	541563728	1354.6292028863713	592.0582180447427	6.864
Human	528623840	1160.7307189944934	534.1195117698412	6.5195
Human	520631294	3180.336481060325	1045.8422242273177	9.1228
Human	569849486	1799.789633005578	715.5367681809637	7.5459
Human	569107566	669.8601201777878	370.2316476967821	5.4279
Human	531523484	991.6547106309913	480.9033222160573	6.1862
Human	488418027	987.5246889041647	479.5671566162416	6.1776
Human	571666289	4443.347559578139	1307.0463278032687	10.1986
Human	528015670	1321.0449033025434	582.2316962313613	6.8068
Human	508405843	783.9289368555388	411.15154030884906	5.72
Human	571430815	1195.41444128314	544.707209187615	6.5838
Human	571659461	1497.8208871375862	633.0782300730872	7.0978
Human	611610514	2708.696342735227	939.7038483036347	8.6475
Human	537297470	972.6851088566656	474.7507242446916	6.1465
Human	562381210	1179.6874097462803	539.9191781959543	6.5548
Human	548457754	3408.8901317305413	1095.3665151282225	9.3363
Human	528614014	2900.1321141454514	983.4734635268186	8.8466
Human	537218493	1072.074858657256	506.5638556601358	6.3491
Human	519832676	1043.4094149547225	497.4933637737075	6.292
Human	539653924	1353.0312744182927	591.5925295869409	6.8613
Human	614197612	1504.795545667496	635.0420094815564	7.1088
Human	508410761	3509.989944612676	1116.9182126964188	9.4277
Human	643582610	1113.9439993763124	519.6684650394105	6.4307
Human	548473051	2151.1010027315983	805.8570190053442	8.008
Human	525018757	2541.3345560667917	900.5863338925031	8.4656
Human	571483807	1690.1145402188924	686.1644545777299	7.3894
Human	571435969	1619.0861822176403	666.8028316200265	7.2844
Human	548421866	5044.469822898487	1422.4198688524946	10.6392
Human	508309649	2595.9362993653313	913.4402517178439	8.5258
Human	587710671	2645.760161887444	925.0909656949106	8.58
Human	561465305	1364.8381433983884	595.0291272154807	6.8812
Human	571471295	1782.2447501904983	710.8790037056752	7.5213
Human	528038990	3638.9788990008487	1144.1171159532316	9.5418
Human	614635228	1494.6577253032556	632.1866083788865	7.0928
Human	548408551	1722.2918742716192	694.846103121955	7.436
Human	567731428	1458.3521104442455	621.9073947508474	7.0349
Human	637034000	377.570668905573	252.62885713065526	4.4837
Human	576084692	928.2312643337917	460.17347936037527	6.0514
Human	613442532	4561.490807710145	1330.1133748498705	10.2882
Human	526785799	1971.938747786887	760.4658889552475	7.7792
Human	571500474	2244.6143177512236	829.0459658787636	8.1224
Human	548494556	2716.503373188398	941.5085976530413	8.6558
Human	614659629	1015.5526879609729	488.5988395289742	6.2355
Human	637038252	507.37027289360634	307.63386124758864	4.9478
Human	548459652	8591.19618198821	2028.5538862188232	12.7054
Human	643572206	918.7382203090037	457.0306367299005	6.0307
Human	614230805	1304.4629444568238	577.3492716901937	6.7782
Human	488386504	1228.562034397605	554.7306788267508	6.6441
Human	528042185	1644.0181377844674	673.6306836420184	7.3216
Human	569095789	475.21906689170766	294.49642649764985	4.841
Human	576095991	1350.9617566002182	590.9891320541069	6.8578
Human	531520637	2480.1422161536457	886.0709826560285	8.3971
Human	616647103	873.1259763836288	441.775944334967	5.9292
Human	542143598	617.7381522205736	350.7683562662959	5.2833
Human	531520401	2910.865188389122	985.8984550005495	8.8575
Human	527942865	1493.6464548874208	631.9014221376159	7.0912
Human	529807751	1321.0449033025434	582.2316962313613	6.8068
Human	601927090	573.9521815138712	333.990872588279	5.1554
Human	517673596	3332.895825051557	1079.026102386544	9.2664
Human	595999306	855.2688356705416	435.7317664959879	5.8885
Human	488386626	1722.2918742716192	694.846103121955	7.436
Human	541536216	1483.621733500585	629.0708804576137	7.0753
Human	528638057	2128.135706535299	800.1111762295282	7.9794
Human	571427524	976.6784674207728	476.0492294370856	6.1549
Human	508282493	2151.1010027315983	805.8570190053442	8.008
Human	576132767	670.7490690740236	370.5591232937537	5.4303
Human	571709783	1341.2338789717107	588.1486905873346	6.8413
Human	571718621	1043.4094149547225	497.4933637737075	6.292
Human	508421103	552.6455986861124	325.67313507863935	5.0908
Human	561432315	1531.6252017272175	642.5680490548823	7.1508
Human	530062215	3192.064300359163	1048.4117474356788	9.134
Human	527891102	850.0940993160208	433.9724156736995	5.8766
Human	539640410	1690.6635312137803	686.3130353226354	7.3902
Human	567763632	3143.145831221215	1037.6729092519777	9.0871
