	specimen_id	dendrite_type	cell_firing_rate	threshold_i_long_square	sweep_number	sweep_FR	stimulus_absolute_amplitude	nm_volume
5575	569820026	spiny	25.420497394399	50.0	43	4.000080001600032	50.0000006675716	2409.948926866389
5576	569820026	spiny	25.420497394399	50.0	44	3.000060001200024	50.0000006675716	2409.948926866389
5577	569820026	spiny	25.420497394399	50.0	45	4.000080001600032	50.0000006675716	2409.948926866389
5578	569820026	spiny	25.420497394399	50.0	46	2.000040000800016	50.0000006675716	2409.948926866389
5579	569820026	spiny	25.420497394399	50.0	47	23.000460009200186	90.0000005077395	2409.948926866389
5580	569820026	spiny	25.420497394399	50.0	48	22.000440008800176	90.0000005077395	2409.948926866389
5581	569820026	spiny	25.420497394399	50.0	49	23.000460009200186	90.0000005077395	2409.948926866389
5582	569820026	spiny	25.420497394399	50.0	50	22.000440008800176	90.0000005077395	2409.948926866389
5583	569820130	spiny	19.87032001673289	30.0	17	5.00010000200004	-110.000002162547	3754.8918350862673
5585	569820130	spiny	19.87032001673289	30.0	20	4.000080001600032	-50.0000006675716	3754.8918350862673
5587	569820130	spiny	19.87032001673289	30.0	25	12.000240004800096	50.0000006675716	3754.8918350862673
5588	569820130	spiny	19.87032001673289	30.0	27	20.00040000800016	90.0000005077395	3754.8918350862673
5589	569820130	spiny	19.87032001673289	30.0	29	25.000500010000202	129.99999687846	3754.8918350862673
5590	569820130	spiny	19.87032001673289	30.0	31	29.00058001160023	170.000000188075	3754.8918350862673
5591	569820130	spiny	19.87032001673289	30.0	32	6.000120002400048	29.9999990127642	3754.8918350862673
5592	569820130	spiny	19.87032001673289	30.0	33	5.00010000200004	29.9999990127642	3754.8918350862673
5593	569820130	spiny	19.87032001673289	30.0	35	5.00010000200004	29.9999990127642	3754.8918350862673
5602	569821470	spiny	10.139702568724699	40.0	56	3.000060001200024	50.0000006675716	6078.089386788611
5603	569821470	spiny	10.139702568724699	40.0	57	7.000140002800056	69.9999988529321	6078.089386788611
5604	569821470	spiny	10.139702568724699	40.0	58	10.00020000400008	90.0000005077395	6078.089386788611
5605	569821470	spiny	10.139702568724699	40.0	59	12.000240004800096	110.000002162547	6078.089386788611
5606	569821470	spiny	10.139702568724699	40.0	60	16.000320006400127	129.99999687846	6078.089386788611
5607	569821470	spiny	10.139702568724699	40.0	61	19.000380007600153	149.999998533268	6078.089386788611
5608	569821470	spiny	10.139702568724699	40.0	62	23.000460009200186	170.000000188075	6078.089386788611
5609	569821470	spiny	10.139702568724699	40.0	63	26.00052001040021	190.000001842883	6078.089386788611
5610	569821470	spiny	10.139702568724699	40.0	64	1.000020000400008	39.9999998401679	6078.089386788611
5611	569821470	spiny	10.139702568724699	40.0	65	1.000020000400008	39.9999998401679	6078.089386788611
5612	569821470	spiny	10.139702568724699	40.0	66	1.000020000400008	39.9999998401679	6078.089386788611
5613	569821470	spiny	10.139702568724699	40.0	67	1.000020000400008	39.9999998401679	6078.089386788611
5621	569825715	aspiny	8.67797282554793	60.0	39	2.000040000800016	69.9999988529321	2375.7879794809123
5622	569825715	aspiny	8.67797282554793	60.0	40	8.000160003200063	90.0000005077395	2375.7879794809123
5623	569825715	aspiny	8.67797282554793	60.0	41	12.000240004800096	110.000002162547	2375.7879794809123
5624	569825715	aspiny	8.67797282554793	60.0	42	15.00030000600012	129.99999687846	2375.7879794809123
5625	569825715	aspiny	8.67797282554793	60.0	43	19.000380007600153	149.999998533268	2375.7879794809123
5626	569825715	aspiny	8.67797282554793	60.0	45	26.00052001040021	190.000001842883	2375.7879794809123
5627	569825715	aspiny	8.67797282554793	60.0	47	1.000020000400008	59.9999980255284	2375.7879794809123
5628	569825715	aspiny	8.67797282554793	60.0	48	1.000020000400008	59.9999980255284	2375.7879794809123
5629	569825715	aspiny	8.67797282554793	60.0	49	1.000020000400008	59.9999980255284	2375.7879794809123
5630	569825715	aspiny	8.67797282554793	60.0	50	1.000020000400008	59.9999980255284	2375.7879794809123
5631	569825715	aspiny	8.67797282554793	60.0	51	1.000020000400008	59.9999980255284	2375.7879794809123
5632	569825715	aspiny	8.67797282554793	60.0	52	1.000020000400008	59.9999980255284	2375.7879794809123
5633	569825715	aspiny	8.67797282554793	60.0	53	8.000160003200063	100.000001335143	2375.7879794809123
5634	569825715	aspiny	8.67797282554793	60.0	54	8.000160003200063	100.000001335143	2375.7879794809123
5650	569844159	spiny	4.302432308398339	190.0	49	1.000020000400008	190.000001842883	3147.658523051341
5651	569844159	spiny	4.302432308398339	190.0	50	2.000040000800016	210.00000349769	3147.658523051341
5652	569844159	spiny	4.302432308398339	190.0	51	4.000080001600032	230.000005152498	3147.658523051341
5653	569844159	spiny	4.302432308398339	190.0	52	7.000140002800056	249.999992929517	3147.658523051341
5654	569844159	spiny	4.302432308398339	190.0	53	9.000180003600072	269.999994584325	3147.658523051341
5655	569844159	spiny	4.302432308398339	190.0	54	11.000220004400088	289.999996239132	3147.658523051341
5656	569844159	spiny	4.302432308398339	190.0	55	13.000260005200104	309.999997893939	3147.658523051341
5657	569844159	spiny	4.302432308398339	190.0	56	14.000280005600112	329.999999548747	3147.658523051341
5659	569844159	spiny	4.302432308398339	190.0	58	1.000020000400008	190.000001842883	3147.658523051341
5661	569844159	spiny	4.302432308398339	190.0	60	1.000020000400008	200.000002670286	3147.658523051341
5662	569844159	spiny	4.302432308398339	190.0	61	1.000020000400008	200.000002670286	3147.658523051341
5663	569844159	spiny	4.302432308398339	190.0	62	1.000020000400008	200.000002670286	3147.658523051341
5664	569844159	spiny	4.302432308398339	190.0	63	1.000020000400008	200.000002670286	3147.658523051341
5665	569844159	spiny	4.302432308398339	190.0	64	4.000080001600032	239.999992102113	3147.658523051341
5666	569844159	spiny	4.302432308398339	190.0	65	3.000060001200024	239.999992102113	3147.658523051341
5667	569844159	spiny	4.302432308398339	190.0	66	4.000080001600032	239.999992102113	3147.658523051341
5668	569844159	spiny	4.302432308398339	190.0	67	3.000060001200024	239.999992102113	3147.658523051341
5669	569844159	spiny	4.302432308398339	190.0	68	8.000160003200063	279.999995411728	3147.658523051341
5670	569844159	spiny	4.302432308398339	190.0	69	8.000160003200063	279.999995411728	3147.658523051341
5671	569844159	spiny	4.302432308398339	190.0	70	8.000160003200063	279.999995411728	3147.658523051341
5672	569844159	spiny	4.302432308398339	190.0	71	8.000160003200063	279.999995411728	3147.658523051341
5684	569849486	sparsely spiny	10.2267788203411	100.0	61	4.000080001600032	110.000002162547	4299.626481843579
5685	569849486	sparsely spiny	10.2267788203411	100.0	62	7.000140002800056	129.99999687846	4299.626481843579
5686	569849486	sparsely spiny	10.2267788203411	100.0	63	10.00020000400008	149.999998533268	4299.626481843579
5687	569849486	sparsely spiny	10.2267788203411	100.0	64	13.000260005200104	170.000000188075	4299.626481843579
5688	569849486	sparsely spiny	10.2267788203411	100.0	65	15.00030000600012	190.000001842883	4299.626481843579
5689	569849486	sparsely spiny	10.2267788203411	100.0	66	17.000340006800137	210.00000349769	4299.626481843579
5690	569849486	sparsely spiny	10.2267788203411	100.0	67	19.000380007600153	230.000005152498	4299.626481843579
5691	569849486	sparsely spiny	10.2267788203411	100.0	68	22.000440008800176	249.999992929517	4299.626481843579
5692	569849486	sparsely spiny	10.2267788203411	100.0	69	1.000020000400008	100.000001335143	4299.626481843579
5693	569849486	sparsely spiny	10.2267788203411	100.0	70	1.000020000400008	100.000001335143	4299.626481843579
5694	569849486	sparsely spiny	10.2267788203411	100.0	71	1.000020000400008	100.000001335143	4299.626481843579
5695	569849486	sparsely spiny	10.2267788203411	100.0	72	1.000020000400008	100.000001335143	4299.626481843579
5696	569849486	sparsely spiny	10.2267788203411	100.0	73	2.000040000800016	100.000001335143	4299.626481843579
5697	569849486	sparsely spiny	10.2267788203411	100.0	74	2.000040000800016	100.000001335143	4299.626481843579
5698	569849486	sparsely spiny	10.2267788203411	100.0	75	9.000180003600072	139.999997705864	4299.626481843579
5699	569849486	sparsely spiny	10.2267788203411	100.0	76	9.000180003600072	139.999997705864	4299.626481843579
5706	569958754	sparsely spiny	35.1153485996424	30.0	25	26.00052001040021	50.0000006675716	3111.382093742089
5707	569958754	sparsely spiny	35.1153485996424	30.0	26	34.000680013600274	69.9999988529321	3111.382093742089
5708	569958754	sparsely spiny	35.1153485996424	30.0	27	39.00078001560031	90.0000005077395	3111.382093742089
5709	569958754	sparsely spiny	35.1153485996424	30.0	28	45.00090001800036	110.000002162547	3111.382093742089
5710	569958754	sparsely spiny	35.1153485996424	30.0	29	51.00102002040041	129.99999687846	3111.382093742089
5711	569958754	sparsely spiny	35.1153485996424	30.0	31	49.00098001960039	170.000000188075	3111.382093742089
5712	569958754	sparsely spiny	35.1153485996424	30.0	32	8.000160003200063	29.9999990127642	3111.382093742089
5713	569958754	sparsely spiny	35.1153485996424	30.0	33	6.000120002400048	29.9999990127642	3111.382093742089
